date,value
1970-01-01,311.41
1971-01-01,325.18
1972-01-01,339.56
1973-01-01,354.58
1974-01-01,370.26
1975-01-01,386.64
1976-01-01,403.74
1977-01-01,421.60
1978-01-01,440.25
1979-01-01,459.72
1980-01-01,480.06
1981-01-01,501.29
1982-01-01,523.46
1983-01-01,546.61
1984-01-01,570.79
1985-01-01,596.03
1986-01-01,622.39
1987-01-01,649.92
1988-01-01,678.67
1989-01-01,708.69
1990-01-01,740.03
1991-01-01,772.76
1992-01-01,806.95
1993-01-01,842.63
1994-01-01,879.90
1995-01-01,918.83
1996-01-01,959.46
1997-01-01,1001.90
1998-01-01,1046.22
1999-01-01,1092.49
2000-01-01,1140.81
2001-01-01,1033.52
2002-01-01,1088.67
2003-01-01,1146.76
2004-01-01,1207.96
2005-01-01,1272.42
2006-01-01,1340.31
2007-01-01,1401.59
2008-01-01,1534.09
2009-01-01,1499.00
