date,value
1970-01-01,3114.05
1971-01-01,3251.80
1972-01-01,3395.65
1973-01-01,3545.80
1974-01-01,3702.65
1975-01-01,3866.40
1976-01-01,4037.40
1977-01-01,4216.00
1978-01-01,4402.50
1979-01-01,4597.20
1980-01-01,4800.55
1981-01-01,5012.90
1982-01-01,5234.60
1983-01-01,5466.10
1984-01-01,5707.90
1985-01-01,5960.35
1986-01-01,6223.95
1987-01-01,6499.25
1988-01-01,6786.70
1989-01-01,7086.90
1990-01-01,7400.35
1991-01-01,7727.65
1992-01-01,8069.45
1993-01-01,8426.35
1994-01-01,8799.05
1995-01-01,9188.25
1996-01-01,9594.60
1997-01-01,10019.00
1998-01-01,10462.20
1999-01-01,10924.90
2000-01-01,11408.10
2001-01-01,10335.20
2002-01-01,10886.70
2003-01-01,11467.60
2004-01-01,12079.60
2005-01-01,12724.20
2006-01-01,13403.10
2007-01-01,14015.90
2008-01-01,15340.90
2009-01-01,14990.00
